Date,Helium(%),Helium,Ethereum(%),Ethereum,Bitcoin(%),Bitcoin,S&P 500(%),S&P 500,Nasdaq(%),Nasdaq
2021-12-03,0.5232862,38.42,-1.5692286,4514.36,-1.237736,56509.17,1.8815778,4589.49,1.6262214,15428.71
2021-12-06,-18.0374805,31.49,-6.9857078,4199,-12.5567054,49413.48,-0.8959601,4548.37,-2.0162412,15117.63
2021-12-07,-0.9526834,31.19,3.8006668,4358.59,2.3644358,50581.83,1.8380211,4631.97,2.601466,15510.91
2021-12-08,4.4565566,32.58,-1.0764949,4311.67,0.1696657,50667.65,1.2713813,4690.86,1.1587973,15690.65
2021-12-09,-7.3971762,30.17,2.8146867,4433.03,-0.4294061,50450.08,2.98E-03,4691,0.1904956,15720.54
2021-12-10,-3.6128605,29.08,-7.2059066,4113.59,-5.5657791,47642.14,-0.0716265,4687.64,-0.5785425,15629.59
2021-12-13,2.4071527,29.78,0.5535311,4136.36,5.1899432,50114.74,0.4833989,4710.3,-0.0532324,15621.27
2021-12-14,-12.5923439,26.03,-8.5471284,3782.82,-6.7942486,46709.82,-1.428996,4642.99,-2.5946034,15215.96
2021-12-15,6.8766808,27.82,2.0997563,3862.25,3.5751155,48379.75,-0.1406421,4636.46,0.0969377,15230.71
2021-12-16,12.4011503,31.27,4.0950223,4020.41,1.0762974,48900.46,1.7830414,4719.13,2.6155708,15629.08
2021-12-17,1.8867925,31.86,-1.5272074,3959.01,-2.5495261,47653.73,-1.4119128,4652.5,-3.7897944,15036.77
2021-12-20,0.4080352,31.99,-0.8918896,3923.7,-1.9865601,46707.06,-1.3885008,4587.9,-0.6901083,14933
2021-12-21,8.5339168,34.72,0.3761755,3938.46,0.3832825,46886.08,0.153883,4594.96,1.3890712,15140.43
2021-12-22,4.6370968,36.33,2.0373445,4018.7,4.3744753,48937.1,1.2056688,4650.36,1.1804817,15319.16
2021-12-23,11.285439,40.43,-0.914226,3981.96,-0.6350192,48626.34,1.1525989,4703.96,1.4728614,15544.79
2021-12-27,-7.1976255,37.52,2.0791269,4064.75,4.4754962,50802.61,0.6383983,4733.99,0.9780769,15696.83
2021-12-28,5.1972281,39.47,-0.6694139,4037.54,-0.2416214,50679.86,1.2991155,4795.49,1.2637584,15895.2
2021-12-29,-7.3726881,36.56,-5.9466903,3797.44,-6.029989,47623.87,-0.1428425,4788.64,-0.6308823,15794.92
2021-12-30,4.1301969,38.07,-4.3508258,3632.22,-2.379605,46490.61,0.1167346,4794.23,-0.2275415,15758.98
2021-12-31,-1.4184397,37.53,2.2358227,3713.43,1.4599937,47169.37,-0.3967269,4775.21,-0.2288854,15722.91
2022-01-03,9.5123901,41.1,3.1267588,3829.54,0.3692439,47343.54,0.0613586,4778.14,0.0609938,15732.5
2022-01-04,-2.7737226,39.96,-1.7803705,3761.36,-1.8686604,46458.85,0.5518884,4804.51,0.760464,15852.14
2022-01-05,3.978979,41.55,0.8749495,3794.27,-1.20427,45899.36,-0.3438436,4787.99,-1.9239043,15547.16
2022-01-06,-6.6907341,38.77,-6.4455086,3549.71,-5.0847114,43565.51,-1.9757769,4693.39,-3.3640228,15024.15
2022-01-07,3.714212,40.21,-3.7149514,3417.84,-0.9455645,43153.57,0.090979,4697.66,0.4763664,15095.72
2022-01-10,-17.6075603,33.13,-7.6150434,3157.57,-2.8811985,41910.23,-0.9008741,4655.34,-2.2783941,14751.78
2022-01-11,-4.5578026,31.62,-2.3619429,3082.99,-0.2164627,41819.51,0.2964338,4669.14,1.1353206,14919.26
2022-01-12,4.6489564,33.09,5.0425074,3238.45,2.2063147,42742.18,1.2732537,4728.59,2.3046719,15263.1
2022-01-13,7.7969175,35.67,4.1269743,3372.1,2.8181997,43946.74,0.1051053,4733.56,-0.1183246,15245.04
2022-01-14,-9.4477152,32.3,-3.6609235,3248.65,-3.0670534,42598.87,-2.0189878,4637.99,-3.5225883,14708.02
2022-01-18,2.0433437,32.96,-1.1192341,3212.29,-0.8188011,42250.07,-0.1239761,4632.24,-0.1780661,14681.83
2022-01-19,-6.6140777,30.78,-1.5079585,3163.85,0.2934196,42374.04,-0.9543979,4588.03,-0.6784577,14582.22
2022-01-20,-8.3820663,28.2,-2.1676122,3095.27,-1.4867829,41744.03,-0.8866551,4547.35,-0.8185996,14462.85
2022-01-21,0.4609929,28.33,-2.9822923,3002.96,-2.5019626,40699.61,-1.6706433,4471.38,-2.8806909,14046.22
2022-01-24,-16.4842923,23.66,-15.5536537,2535.89,-10.8695882,36275.73,-2.5732548,4356.32,-4.0204411,13481.5
2022-01-25,-4.5646661,22.58,-3.7659362,2440.39,1.0449962,36654.81,0.2368972,4366.64,0.9596113,13610.87
2022-01-26,13.6846767,25.67,0.6224415,2455.58,0.8067154,36950.51,0.9570287,4408.43,1.9168503,13871.77
2022-01-27,12.7775614,28.95,0.4728007,2467.19,-0.2939878,36841.88,-0.6317442,4380.58,-1.1590446,13710.99
2022-01-28,-2.8670121,28.12,-1.8458246,2421.65,0.7778105,37128.44,-1.0133361,4336.19,-2.0004391,13436.71
2022-01-31,3.0227596,28.97,7.4994322,2603.26,2.1327047,37920.28,2.2047004,4431.79,2.7944341,13812.19
2022-02-01,-3.9005868,27.84,3.251308,2687.9,1.4807116,38481.77,1.9806895,4519.57,3.368329,14277.43
2022-02-02,-1.8678161,27.32,3.8714238,2791.96,0.6806859,38743.71,1.0359393,4566.39,1.5201615,14494.47
2022-02-03,-7.8330893,25.18,-3.9302139,2682.23,-4.6430763,36944.81,-0.6784353,4535.41,-3.0952494,14045.83
2022-02-04,2.9785544,25.93,-0.0436204,2681.06,0.553393,37149.26,-1.1602038,4482.79,-0.6218928,13958.48
2022-02-07,16.7759352,30.28,14.0377313,3057.42,14.1524219,42406.78,0.512181,4505.75,1.1484775,14118.79
2022-02-08,-0.9247028,30,2.7994191,3143.01,3.4142418,43854.65,-0.5710481,4480.02,-0.9516396,13984.43
2022-02-09,-3.3333333,29,-0.6945571,3121.18,0.5519369,44096.7,1.4950826,4547,2.7439803,14368.16
2022-02-10,4.6551724,30.35,3.8104179,3240.11,0.5694304,44347.8,0.1372333,4553.24,-0.9707576,14228.68
2022-02-11,-4.6128501,28.95,-5.0214345,3077.41,-1.7513157,43571.13,-1.0315731,4506.27,-0.1058426,14213.62
2022-02-14,-12.7115717,25.27,-6.4086358,2880.19,-3.2446485,42157.4,-2.0784374,4412.61,-3.1283375,13768.97
2022-02-15,2.4535022,25.89,1.8589051,2933.73,1.0177573,42586.46,0.377781,4429.28,1.6574225,13997.18
2022-02-16,6.2572422,27.51,8.4097719,3180.45,4.6771204,44578.28,0.5976141,4455.75,0.2982029,14038.92
2022-02-17,2.7626318,28.27,-1.6849817,3126.86,-1.4383911,43937.07,6.96E-03,4456.06,-0.2473837,14004.19
2022-02-18,-12.1683764,24.83,-7.7560236,2884.34,-7.704064,40552.13,-1.6043321,4384.57,-1.9193541,13735.4
2022-02-22,-13.733387,21.42,-10.7976175,2572.9,-8.5898324,37068.77,-1.1821,4332.74,-2.2645136,13424.36
2022-02-23,8.356676,23.21,2.5865755,2639.45,3.2817652,38285.28,-0.1802555,4324.93,0.6509808,13511.75
2022-02-24,-5.6872038,21.89,-1.942829,2588.17,-2.6294962,37278.57,-3.9112772,4155.77,-6.8375303,12587.88
2022-02-25,3.0150754,22.55,0.3968055,2598.44,2.830527,38333.75,3.4316144,4298.38,7.1289208,13485.26
2022-02-28,1.5964523,22.91,0.8747556,2621.17,-1.6375909,37706,1.2979308,4354.17,0.6345447,13570.83
2022-03-01,12.3090354,25.73,11.3922409,2919.78,14.5560388,43194.5,0.2060094,4363.14,1.074879,13716.7
2022-03-02,-3.2646716,24.89,1.804588,2972.47,2.6927502,44357.62,-0.9300641,4322.56,-0.868795,13597.53
2022-03-03,-3.5355564,24.01,-0.7505543,2950.16,-0.9748494,43925.2,1.8218371,4401.31,1.7654677,13837.59
2022-03-04,-4.2065806,23,-3.9038561,2834.99,-3.3399051,42458.14,-1.3448269,4342.12,-2.7631979,13455.23
2022-03-07,-9.2608696,20.87,-9.8656433,2555.3,-9.4889696,38429.3,-0.3479867,4327.01,-0.9429047,13328.36
2022-03-08,1.5812171,21.2,-2.2533558,2497.72,-0.9612457,38059.9,-2.8738089,4202.66,-3.9638785,12800.04
2022-03-09,0,21.2,3.180901,2577.17,1.7943295,38742.82,0.4863586,4223.1,2.4504611,13113.7
2022-03-10,2.3584906,21.7,5.8960022,2729.12,8.340255,41974.07,0.697355,4252.55,-0.1170532,13098.35
2022-03-11,-1.843318,21.3,-4.4281673,2608.27,-6.0372987,39439.97,0.6337374,4279.5,1.0033325,13229.77
2022-03-14,-5.5868545,20.11,-3.4421283,2518.49,-4.0406978,37846.32,-1.7934338,4202.75,-3.2853935,12795.12
2022-03-15,4.1770264,20.95,2.866003,2590.67,4.8034525,39664.25,-0.3314496,4188.82,-0.8588431,12685.23
2022-03-16,1.0501193,21.17,1.1332976,2620.03,-0.8286555,39335.57,2.3710735,4288.14,3.4224054,13119.37
2022-03-17,6.2824752,22.5,5.7987886,2771.96,4.5894085,41140.84,1.328548,4345.11,1.8396463,13360.72
2022-03-18,0.8888889,22.7,1.5321289,2814.43,-0.4764122,40944.84,1.4321847,4407.34,1.5261902,13564.63
2022-03-21,-1.8942731,22.27,1.6227087,2860.1,0.7358436,41246.13,1.2492796,4462.4,2.1803765,13860.39
2022-03-22,2.2900763,22.78,1.3170868,2897.77,-0.4170816,41074.1,0.1501434,4469.1,0.0435774,13866.43
2022-03-23,9.9209833,25.04,2.6013107,2973.15,3.141347,42364.38,0.5370209,4493.1,0.8936691,13990.35
2022-03-24,0.9584665,25.28,1.9477658,3031.06,1.2328045,42886.65,-0.5145668,4469.98,0.0784112,14001.32
2022-03-25,-0.3164557,25.2,2.5532322,3108.45,2.5133695,43964.55,1.1841216,4522.91,1.3812983,14194.72
